Data,cell1,cell2,typ,tf,cells,significance,real_data_compare,nbins
GSE45719,16-cell stage blastomere,Mid blastocyst cell (92-94h post-fertilization),1,16-cell stage blastomere,50,ns sig sig,16-cell stage blastomere VS Early blastocyst cell (86-88h post-fertilization),60
GSE74596,Single_cell_RNA-seq_NKT0,Single_cell_RNA-seq_NKT17,1,Single_cell_RNA-seq_NKT0,45,ns ns ns,Single_cell_RNA-seq_NKT0 VS Single_cell_RNA-seq_NKT17,70
GSE48968-GPL13112,BMDC (1h LPS Stimulation),BMDC (4h LPS Stimulation),1,BMDC (1h LPS Stimulation),96,sig sig sig,BMDC (4h LPS Stimulation) VS BMDC (4h PAM Stimulation),50
EMTAB2805,G1,G2M,2,G2M,96,_sig ns sig,G1 VS G2M,70
GSE60749-GPL13112,v6.5 mouse embryonic stem cells,culture conditions: serum+LIF,3,culture conditions: 2i+LIF,94,_sig _sig ns,v6.5 mouse embryonic stem cellsculture conditions: serum+LIF VS v6.5 mouse embryonic stem cellsculture conditions: 2i+LIF,50
GSE48968-GPL17021-125bp,Bone Marrow Dendritic Cells,BMDC (On Chip 4h LPS Stimulation),1,Bone Marrow Dendritic Cells,465,sig sig sig,"BMDC (2h IFN-B Stimulation) VS BMDC (Stat1-/-, 4h LPS stimulation)",50
GSE57872,Single cell mRNA-seq_MGH30,Single cell mRNA-seq_MGH28,1,Single cell mRNA-seq_MGH30,192,sig sig sig,Single cell mRNA-seq_MGH30  VS ,40
GSE62270-GPL17021,Randomly extracted Reg4-positive intestinal cells,Randomly extracted cells from whole intestinal organoids,1,Randomly extracted Reg4-positive intestinal cells,683,ns sig sig,Randomly extracted Reg4-positive intestinal cells VS Randomly extracted Lgr5-positive intestinal cells,20
GSE63818-GPL16791,Primordial Germ Cells,nsense,3,developmental stage: 19 week gestation,57,ns sig sig,Primordial Germ Cells VS Somatic cells,50
GSE64016,single H1 hESC,nosense,1,single H1 hESC,213,sig sig ns,single H1-Fucci cell sorted from G1 phase of the cell cycle only VS single H1-Fucci cell sorted from G2/M phase of the cell cycle only,60
GSE71982,Vestibular epithelium,nosense,3,purification: Enzymatic/mechanical,160,ns ns sig,Cochlear epithelium. VS Vestibular epithelium,70
GSE77847,primary AML,nosense,3,"sample type: cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1",48,_sig sig sig, AML-1 VS AML-2,60
GSE78779-GPL17021,Fibloblasts,BMDCs,3,Fibloblasts.Expression_C1_96_cells,96,ns ns ns,Fibloblasts.Expression_C1_96_cells VS BMDC,40
GSE79102,patient 2 single cell RNA-Seq,nosense,1,patient 2 single cell RNA-Seq,96,sig sig sig,subject id: patient 2  VS subject id: patient 1,70
GSE81076-GPL18573,human pancreas,nosense,3,cell type: live sorted cells,768,_sig sig sig,cell type: CD13+ sorted cells VS cell type: TGFBR3+ sorted cells,30
GSE102299-smartseq2,Intranasal administration of IL-33 daily for 3 consecutive days.,nosense,1,Intranasal administration of IL-33 daily for 3 consecutive days.,282,sig sig sig,innate lymphoid cells from mouse lungs after IL33 treatment  VS Intranasal administration of PBS daily for 3 consecutive days,50
GSE94383,condition: LPS,nosense,3,time point: 150 min,368,_sig _sig sig,condition: No stimulationtime point: 0 min VS condition: LPStime point: 300 min,60
EMTAB3929,No,nosense,3,embryonic day 6,363,ns sig sig,embryonic day 7.No VS embryonic day 7. immune,60
SRP073808,H7hESC,nosense,1,H7hESC,77,sig sig _sig,H7hESC VS H7_derived_DLL1pPXM,60
